"Name","DeclLine","Helpers","PublisherCount","Publishers","SubscriberCount","Subscribers","Status"
"OnAetherEnergyChanged","149","RaiseAetherEnergyChanged","0","","2","Assets/_Project/Scripts/UI/HUDLiveDataWiring.cs:27; Assets/_Project/Scripts/UI/HUDLiveDataWiring.cs:39","BROKEN"
"OnAetherVisionToggledTyped","221","RaiseAetherVisionToggled","1","Assets/_Project/Scripts/Gameplay/PlayerAbilityController.cs:162","0","","BROKEN"
"OnBossDefeated","78","RaiseBossDefeated","1","Assets/_Project/Scripts/Integration/BossEncounterSystem.cs:1209","0","","BROKEN"
"OnBuildingDiscovered","57","FireBuildingDiscovered,RaiseBuildingDiscovered","1","Assets/_Project/Scripts/Integration/CathedralRestorationSystem.cs:69","2","Assets/_Project/Scripts/Integration/MiloFollowBehaviour.cs:53; Assets/_Project/Scripts/Integration/MiloFollowBehaviour.cs:59","HEALTHY"
"OnBuildingDiscoveredTyped","53","RaiseBuildingDiscovered","0","","2","Assets/_Project/Scripts/Integration/Moon1DialogueBindings.cs:39; Assets/_Project/Scripts/Integration/Moon1DialogueBindings.cs:45","BROKEN"
"OnBuildingRestored","56","FireBuildingRestored,RaiseBuildingRestored","5","Assets/_Project/Scripts/Integration/InteractableBuilding.cs:647; Assets/_Project/Scripts/Integration/CathedralRestorationSystem.cs:187; Assets/_Project/Scripts/Integration/DomeRestorationSystem.cs:23; Assets/_Project/Scripts/Integration/FountainRestorationSystem.cs:22; Assets/_Project/Scripts/Integration/SpireRestorationSystem.cs:22","27","Assets/_Project/Scripts/Integration/_moon2_archive/Moon2ProgressionSystem.cs:106; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2ProgressionSystem.cs:123; Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:435; Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:446; Assets/_Project/Scripts/Integration/VFXWiringController.cs:35; Assets/_Project/Scripts/Integration/VFXWiringController.cs:44; Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:59; Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:69; Assets/_Project/Scripts/Integration/Moon1AudioAtmosphere.cs:45; Assets/_Project/Scripts/Integration/Moon1AudioAtmosphere.cs:50; Assets/_Project/Scripts/Integration/_moon2_archive/Moon2LunarContentSpawner.cs:298; Assets/_Project/Scripts/Integration/Moon1CombatDirector.cs:47; Assets/_Project/Scripts/Integration/Moon1CombatDirector.cs:52; Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:101; Assets/_Project/Scripts/Integration/RuntimeHUDBuilder.cs:238; Assets/_Project/Scripts/Save/SaveManager.cs:100; Assets/_Project/Scripts/Save/SaveManager.cs:155; Assets/_Project/Scripts/Integration/Moon1ProgressPersistence.cs:43; Assets/_Project/Scripts/Integration/Moon1ProgressPersistence.cs:49; Assets/_Project/Scripts/Integration/AudioFeedbackController.cs:36; Assets/_Project/Scripts/Integration/AudioFeedbackController.cs:45; Assets/_Project/Scripts/Integration/Moon1AudioOrchestra.cs:43; Assets/_Project/Scripts/Integration/Moon1AudioOrchestra.cs:50; Assets/_Project/Scripts/UI/QuestObjectiveTrackerUI.cs:33; Assets/_Project/Scripts/UI/QuestObjectiveTrackerUI.cs:39; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:154; Assets/_Project/Scripts/AI/MiloTutorialFlow.cs:170","HEALTHY"
"OnBuildingRestoredTyped","47","RaiseBuildingRestored","1","Assets/_Project/Scripts/Integration/InteractableBuilding.cs:647","20","Assets/_Project/Scripts/UI/LeyLineMinimap.cs:38; Assets/_Project/Scripts/UI/LeyLineMinimap.cs:43; Assets/_Project/Scripts/UI/LeyLineMap.cs:59; Assets/_Project/Scripts/UI/LeyLineMap.cs:64; Assets/_Project/Scripts/Integration/Moon1DialogueBindings.cs:40; Assets/_Project/Scripts/Integration/Moon1DialogueBindings.cs:46; Assets/_Project/Scripts/Integration/BuildingRestorationCeremony.cs:31; Assets/_Project/Scripts/Integration/BuildingRestorationCeremony.cs:32; Assets/_Project/Scripts/Integration/NPCConditionalSpawn.cs:27; Assets/_Project/Scripts/Integration/NPCConditionalSpawn.cs:32; Assets/_Project/Scripts/Integration/MudDissolutionAnimator.cs:49; Assets/_Project/Scripts/Integration/MudDissolutionAnimator.cs:54; Assets/_Project/Scripts/Integration/Moon1CinematicMoments.cs:32; Assets/_Project/Scripts/Integration/Moon1CinematicMoments.cs:38; Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:65; Assets/_Project/Scripts/Gameplay/PlayerHealthController.cs:75; Assets/_Project/Scripts/UI/RewardToastController.cs:69; Assets/_Project/Scripts/UI/RewardToastController.cs:76; Assets/_Project/Scripts/Camera/RestorationCinemachine.cs:20; Assets/_Project/Scripts/Camera/RestorationCinemachine.cs:21","HEALTHY"
"OnCloudConflictDetected","330","FireCloudConflictDetected","1","Assets/_Project/Scripts/Save/SaveManager.cs:1935","2","Assets/_Project/Scripts/Save/SaveManager.cs:102; Assets/_Project/Scripts/Save/SaveManager.cs:157","HEALTHY"
"OnCollectibleGathered","435","","1","Assets/_Project/Scripts/Integration/Phase2Stubs.cs:117","0","","BROKEN"
"OnCombatEnded","437","FireCombatEnded","1","Assets/_Project/Scripts/Integration/Phase2Stubs.cs:119","2","Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:434; Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:445","HEALTHY"
"OnCombatStarted","436","FireCombatStarted","1","Assets/_Project/Scripts/Integration/Phase2Stubs.cs:118","2","Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:433; Assets/_Project/Scripts/Audio/AdaptiveMusicController.cs:444","HEALTHY"
"OnCriticalSaveTrigger","329","FireCriticalSaveTrigger","14","Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:116; Assets/_Project/Scripts/Integration/EchohavenProgressionSystem.cs:148; Assets/_Project/Scripts/Gameplay/SkillTreeSystem.cs:421; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:130; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:143; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:166; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:184; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:194; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:208; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:216; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:227; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:240; Assets/_Project/Scripts/Gameplay/SpectralOrphanAdoption.cs:249; Assets/_Project/Scripts/Save/SaveManager.cs:1661","4","Assets/_Project/Scripts/UI/GameCompleteOverlay.cs:73; Assets/_Project/Scripts/UI/GameCompleteOverlay.cs:78; Assets/_Project/Scripts/Save/SaveManager.cs:101; Assets/_Project/Scripts/Save/SaveManager.cs:156","HEALTHY"
"OnDialogueStateChanged","210","RaiseDialogueStateChanged","0","","0","","UNUSED"
"OnEnemyKilled","71","RaiseEnemyKilled","2","Assets/_Project/Scripts/Integration/MudGolemEnemy.cs:217; Assets/_Project/Scripts/AI/MudGolemHealth.cs:169","6","Assets/_Project/Scripts/Integration/VFXWiringController.cs:36; Assets/_Project/Scripts/Integration/VFXWiringController.cs:45; Assets/_Project/Scripts/Gameplay/PlayerProgression.cs:139; Assets/_Project/Scripts/Gameplay/PlayerProgression.cs:145; Assets/_Project/Scripts/Integration/AudioFeedbackController.cs:37; Assets/_Project/Scripts/Integration/AudioFeedbackController.cs:46","HEALTHY"
"OnHUDAchievementToast","332","FireHUDAchievementToast","10","Assets/_Project/Scripts/Save/SaveManager.cs:242; Assets/_Project/Scripts/Save/SaveManager.cs:249; Assets/_Project/Scripts/Save/SaveManager.cs:759; Assets/_Project/Scripts/Save/SaveManager.cs:1323; Assets/_Project/Scripts/Save/SaveManager.cs:1337; Assets/_Project/Scripts/Save/SaveManager.cs:1698; Assets/_Project/Scripts/Save/SaveManager.cs:1754; Assets/_Project/Scripts/Save/SaveManager.cs:1851; Assets/_Project/Scripts/Save/SaveManager.cs:1872; Assets/_Project/Scripts/Save/SaveManager.cs:1948","2","Assets/_Project/Scripts/UI/HUDController.cs:140; Assets/_Project/Scripts/UI/HUDController.cs:176","HEALTHY"
"OnHUDCloudQueueToast","333","FireHUDCloudQueueToast","14","Assets/_Project/Scripts/Save/SaveManager.cs:527; Assets/_Project/Scripts/Save/SaveManager.cs:535; Assets/_Project/Scripts/Save/SaveManager.cs:544; Assets/_Project/Scripts/Save/SaveManager.cs:612; Assets/_Project/Scripts/Save/SaveManager.cs:771; Assets/_Project/Scripts/Save/SaveManager.cs:1579; Assets/_Project/Scripts/Save/SaveManager.cs:1620; Assets/_Project/Scripts/Save/SaveManager.cs:1766; Assets/_Project/Scripts/Save/SaveManager.cs:1823; Assets/_Project/Scripts/Save/SaveManager.cs:1840; Assets/_Project/Scripts/Save/SaveManager.cs:1855; Assets/_Project/Scripts/Save/SaveManager.cs:1865; Assets/_Project/Scripts/Save/SaveManager.cs:1873; Assets/_Project/Scripts/Save/SaveManager.cs:1886","2","Assets/_Project/Scripts/UI/HUDController.cs:141; Assets/_Project/Scripts/UI/HUDController.cs:177","HEALTHY"
"OnHUDFlashRSGain","291","RaiseHUDFlashRSGain","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:156; Assets/_Project/Scripts/UI/HUDController.cs:192","BROKEN"
"OnHUDHideBossHealth","273","RaiseHUDHideBossHealth","0","","2","Assets/_Project/Scripts/UI/HUDController.cs:153; Assets/_Project/Scripts/UI/HUDController.cs:189","BROKEN"
